code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,12623.077,-2900,598.688,-1605.282,,,,
0051,0,0,92,385.571,,,,
0052,6.994,20,0,276.149,,,,
0053,0,0,0,2.092,,,,
0055,-13,0,0,63.473,,,,
0056,-185.612,0,0,31361.181,,,,
0057,0,0,0,0.007,,,,
0061,-7,0,0,315.698,,,,
006201,0,-65,0,50.827,207,201,0,0
006203,-1,0,0,1,,,,
006204,1,0,0,1.93,,,,
006205,-5,0,0,184.72,,,,
006206,6,0,0,-52.166,,,,
006207,-16,0,0,66.717,,,,
006208,2817.86,0,0,5801.788,,,,
00625K,0,0,0,0,,,,
00631L,-26.469,0,-41,728.528,,,,
00632R,286.45,0,562,-12667.371,,,,
00633L,-355,0,0,437.188,,,,
00634R,0,0,0,-164.592,,,,
00635U,12.73,0,1,-166.346,,,,
00636,14,0,33,116.323,,,,
00636K,0,0,0,0,,,,
00637L,-836,0,400,2170.714,,,,
00638R,-17,0,-1100,679.41,,,,
00639,-72,0,50,499.79,,,,
00640L,-1,0,0,125.011,,,,
00641R,0,0,0,-237.506,,,,
00642U,24.087,0,0,-13866.894,,,,
00643,18,0,-200,25.6,,,,
00643K,0,0,0,0,,,,
00645,-2,0,0,203.497,,,,
00646,324.133,0,0,3631,,,,
00647L,-2,13,0,-114.254,,,,
00648R,41,0,0,2888.031,,,,
00650L,1139,0,0,2025.74,,,,
00651R,0,0,0,33.902,,,,
00652,0.336,0,0,87.362,,,,
00653L,0,0,0,-7.226,,,,
00654R,0,0,0,8.144,,,,
00655L,30,0,0,1070.681,,,,
00656R,0,0,0,-0.1,,,,
00657,-1,0,0,20.203,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,37,,,,
00661,-3,0,6,34.515,,,,
00662,4.778,0,0,2219.156,,,,
00663L,-56.95,0,0,-14.512,,,,
00664R,0,0,0,-81.559,,,,
00665L,1456,0,1615,3392.119,,,,
00666R,0,0,0,-393.234,,,,
00668,0,0,0,21.481,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,-915.808,,,,
00670L,0,0,0,456.551,,,,
