code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,-60350.188,2550,687.482,-11045.548,,,,
0051,0.137,0,0,-14.798,,,,
0052,68.442,70,0,-2085.51,,,,
0053,0.01,0,0,-1.189,,,,
0055,-8.724,0,0,-92.241,,,,
0056,-22460.002,0,-22.621,-10819.165,,,,
0057,0,0,0,-2.909,,,,
0061,116,0,0,73.63,,,,
006201,-4,0,0,-42.504,52,46,0,0
006203,0,0,0,-1,,,,
006204,0,0,0,-0.829,,,,
006205,79,0,0,220.789,,,,
006206,-5,0,0,65.289,,,,
006207,1,0,0,-20.852,,,,
006208,-1299.78,-432,21,-1024.098,,,,
00631L,54.13,0,256,-1074.957,,,,
00632R,0,0,130,6598.915,,,,
00633L,-166,0,0,394.098,,,,
00634R,-36,0,0,-279,,,,
00635U,-3.985,0,16,-819.858,,,,
00636,1,0,20,125.16,,,,
00636K,0,0,0,0,,,,
00637L,1026,0,0,-1388.808,,,,
00638R,-2,0,0,-24,,,,
00639,-106,0,-10,336.754,,,,
00640L,-0.9,0,0,-63.856,,,,
00641R,0,0,0,-190.069,,,,
00642U,6,0,18,-317.725,,,,
00643,-21,0,0,370.161,,,,
00645,6,0,0,-511.309,,,,
00646,-623.996,0,0,-2086.229,,,,
00647L,-5,0,0,-52.431,,,,
00648R,13,0,0,589.885,,,,
00650L,140,0,0,220.343,,,,
00651R,0,0,0,-11.05,,,,
00652,-7.727,0,0,40.801,,,,
00653L,0,0,0,68.246,,,,
00654R,0,0,0,15.5,,,,
00655L,-19,0,0,354.06,,,,
00656R,0,0,0,75.97,,,,
00657,6,0,0,-12.107,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,14,,,,
00661,3,0,13,-254.889,,,,
00662,-330.142,0,0,-1973.659,,,,
00663L,-356.95,0,-35,-3745.772,,,,
00664R,0,0,-71,-3421.45,,,,
00665L,885,0,0,1144.328,,,,
00666R,0,0,0,-12.03,,,,
00668,0,0,0,-2.503,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,-36.227,,,,
00670L,14.011,0,0,-1811.233,,,,
00671R,0,0,0,-2161.001,,,,
00673R,0,0,0,194.322,,,,
00674R,0,0,0,340.031,,,,
00675L,-4,0,0,155.521,,,,
00676R,0,0,0,261.885,,,,
00678,0,0,0,9.861,,,,
00679B,4827,0,-550,4880.248,12951,13059,71,71
00680L,423,0,0,2699.676,,,,
00681R,0,0,0,6,,,,
00682U,0,0,0,-0.002,,,,
00683L,4,0,0,90,,,,
00684R,0,0,0,-48,,,,
00685L,0,0,0,-387.48,,,,
00686R,15,0,0,132,,,,
00687B,3069,0,-10,10608.233,22075,22340,1,1
00687C,0,0,0,0,,,,
00688L,0,0,0,3411.512,,,,
00689R,0,0,0,0,,,,
00690,6.03,0,0,-527.408,,,,
00692,28.4,0,0,-265.51,,,,
00693U,472,0,80,911.401,,,,
00694B,120,0,0,-69,0,0,0,0
00695B,139,0,0,-88.215,3,3,0,0
00696B,242,0,0,284.989,427,433,0,0
00697B,2,0,0,146.448,26,26,0,0
00700,42,0,0,-22.315,,,,
00701,-4,0,0,-283.938,,,,
00702,3,0,0,-5,,,,
00703,1,0,0,6.14,,,,
00706L,0,0,0,1146.515,,,,
00708L,29,0,0,-1112.151,,,,
00709,0,0,0,-35,,,,
00710B,-1,0,0,12.999,,,,
00711B,21,0,0,-19.945,,,,
00712,1355,0,0,401.328,,,,
00713,-788.965,-34,-43,4336.098,,,,
00714,0,0,0,19.278,,,,
00715L,-7662,0,0,-1686.613,,,,
00717,79,0,0,7,,,,
00719B,622,0,10,-423.107,161,555,0,0
00720B,883,0,-50,-147.142,4204,4211,44,44
00722B,360,0,0,-101.344,168,168,0,0
00723B,5,0,0,0.019,114,114,0,0
00724B,398,0,0,-4.705,47,47,0,0
