code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,208.801,0,4503.001,2699.568,,,,
0051,0,0,0,-63.543,,,,
0052,2124.945,0,-420,2138.424,,,,
0053,2,0,0,-8.674,,,,
0055,2.1,0,0,-2.663,,,,
0056,34818.828,-24310,0,13580.617,,,,
0057,0,0,0,-1,,,,
0061,0,0,0,-158.01,,,,
006201,1,100,0,-101.349,34,29,0,0
006203,0,0,0,2,,,,
006204,0,0,0,0.257,,,,
006205,-1,0,0,7.053,,,,
006206,-4,0,0,-36.324,,,,
006207,0,0,0,12.821,,,,
006208,354.442,-20,0,634.61,,,,
00631L,454.953,0,0,130.181,,,,
00632R,-501,0,846,-4417.849,,,,
00633L,143,0,0,-1952.214,,,,
00634R,0,0,0,43,,,,
00635U,12.7,0,0,-1777.294,,,,
00636,-5,0,0,-118.334,,,,
00636K,0,0,0,0,,,,
00637L,-840,0,300,-20150.538,,,,
00638R,0,0,0,78.65,,,,
00639,-63,0,0,166.887,,,,
00640L,19,0,0,-8.218,,,,
00641R,0,0,0,1054,,,,
00642U,-401,0,0,-87.774,,,,
00643,-158,0,0,-127.329,,,,
00645,-3,0,0,-10.955,,,,
00646,-4.145,0,0,210.055,,,,
00647L,0,0,0,9.46,,,,
00648R,-84,0,0,504.995,,,,
00650L,-269,0,0,2735.731,,,,
00651R,0,0,0,-33.294,,,,
00652,3.493,0,0,-88.575,,,,
00653L,-4,0,0,-174.355,,,,
00654R,0,0,0,-14.242,,,,
00655L,-134,0,0,-706.37,,,,
00656R,0,0,0,154,,,,
00657,0,0,0,-7.533,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,1,,,,
00661,1,0,0,49.201,,,,
00662,-6.5,0,240,-903.828,,,,
00663L,100,0,0,878.979,,,,
00664R,0,0,-122,2274.654,,,,
00665L,2296,0,0,4883.481,,,,
00666R,1,0,0,14.97,,,,
00668,-1,0,0,0.145,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,-193.173,,,,
00670L,0,0,0,674.038,,,,
00671R,0,0,0,527.64,,,,
00673R,10,0,0,4737.927,,,,
00674R,-338,0,0,-1888.66,,,,
00675L,12,0,0,564.284,,,,
00676R,0,0,-7,164.073,,,,
00678,-0.087,0,0,-4.231,,,,
00679B,-12924.801,0,1957,31243.747,10976,11339,83,81
00680L,433,0,0,21697.894,,,,
00681R,0,0,0,-11,,,,
00682U,0,0,0,-0.002,,,,
00683L,0,0,0,-134.184,,,,
00684R,0,0,0,13,,,,
00685L,-3,0,0,50.6,,,,
00686R,0,0,0,94.95,,,,
00687B,8819.6,0,-343,7554.912,14540,14602,41,38
00687C,0,0,0,0,,,,
00688L,847,0,-765,8260.704,,,,
00689R,0,0,0,-0.051,,,,
00690,-1,0,0,-10.926,,,,
00692,-2.8,0,0,194.268,,,,
00693U,-12,0,0,-862.884,,,,
00694B,-159,0,0,151.424,0,0,0,0
00695B,0,0,0,-6.142,0,0,0,0
00696B,1154,0,0,-458.518,199,299,0,0
00697B,1,0,0,-34.474,12,15,0,0
00700,127,0,0,76.673,,,,
00701,-116,0,0,113.182,,,,
00702,0,0,0,14.227,,,,
00703,0,0,0,16.876,,,,
00706L,10,0,0,1006.902,,,,
00707R,0,0,0,-3,,,,
00708L,66.07,-30,-46,1253.921,,,,
00709,0,0,0,-45.035,,,,
00710B,11,0,0,-23.45,,,,
00711B,0,0,0,-0.088,,,,
00712,1016,0,0,3173.088,,,,
00713,42.328,-110,-11,1053.277,,,,
00714,0,0,0,5.335,,,,
00715L,-2536,0,10,-5197.096,,,,
00717,326,0,0,101,,,,
00719B,-1078,0,10,-242.638,72,72,0,0
00720B,1850.029,0,0,4697.309,3392,3414,0,0
00722B,209,0,0,67.516,113,123,0,0
00723B,-57,0,0,62,114,114,0,0
00724B,-39,0,0,54.146,37,37,0,0
00725B,759.75,0,0,682.586,1212,1220,0,0
00726B,-54,0,0,-106.767,114,99,0,0
00727B,0,0,0,54.404,2,2,0,0
00728,-35,0,0,92.087,,,,
00730,1,0,0,-11.551,,,,
00731,2,0,0,78.451,,,,
00733,170,0,0,501.93,,,,
00734B,0,0,0,60,0,0,0,0
00735,1.025,0,0,-281,,,,
00736,0,0,0,-5,,,,
00737,-6,0,0,-411.779,,,,
00738U,753.315,0,0,4149.62,,,,
00739,0,0,0,42.648,,,,
00740B,285,0,0,-432.795,102,104,0,0
00741B,0,0,0,2.055,16,16,0,0
00746B,197,0,0,-196.653,0,0,0,0
00749B,0,0,0,0,0,0,0,0
00750B,0,0,0,0,0,0,0,0
00751B,2943,0,-44,2920.135,3998,4007,0,0
00752,35,0,0,46.36,,,,
00753L,408,0,0,10571.036,,,,
00754B,-1,0,0,22,0,0,0,0
00755B,-59,0,0,62.237,9,9,0,0
00756B,-34,0,0,-4,21,21,0,0
00757,189.379,0,4,-117.74,,,,
00758B,0,0,0,0,0,0,0,0
00759B,0,0,0,0.04,0,0,0,0
00760B,0,0,0,-0.121,3,3,0,0
00761B,-16,0,0,95.818,31,31,0,0
00762,-65,-44,22,205.444,,,,
00763U,14.4,0,0,-848.013,,,,
00764B,-244,0,0,745.593,63,59,0,0
