code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
00400A,-5147.1,0,10,-2340.93,,,,
00401A,-553,0,3,-1498.522,,,,
00402A,-130,0,0,400.964,,,,
00403A,-28031.788,0,-603.888,16118.909,,,,
00404A,250.01,0,0,-15184.472,,,,
00405A,-3959.39,0,341,10303.498,,,,
00406A,-27963.826,0,0,-96801.94,,,,
00407A,-4905.4,0,0,222.435,,,,
00408A,0,0,0,544.188,,,,
00409A,132,0,0,-1377.253,,,,
00410A,-1013,0,-100,679.846,,,,
00411A,547,0,0,2687.662,5323,5315,386,1
0050,-48347.809,2970,-4356.605,2148.71,,,,
0051,-0.979,0,0,-3.886,,,,
0052,-1921.979,-50,-1322.02,-1962.424,,,,
0053,-10.912,0,0,-69.84,,,,
0055,-191.835,0,0,-548.826,,,,
0056,-3698.077,290,-1,-730.619,,,,
0057,0.002,0,0,-10,,,,
0061,8,0,0,-1.767,,,,
006201,11.011,0,0,-0.179,161,168,11,11
006203,0.005,0,0,-7.483,,,,
006204,0,0,0,-0.444,,,,
006205,-8,0,0,139.321,,,,
006206,0,0,0,6.42,,,,
006207,-1,0,0,0.482,,,,
006208,-596.163,6,-36,-353.601,,,,
00631L,-3393.918,0,-55,-52016.51,,,,
00632R,-822.2,0,0,-3451.902,,,,
00633L,21,0,0,36.846,,,,
00634R,0,0,0,23.8,,,,
00635U,-138.7,0,5,36.18,,,,
00636,-3,0,0,115.954,,,,
00636K,0,0,0,0,,,,
00637L,-214,0,0,1127.588,,,,
00638R,0,0,0,-9,,,,
00639,-94,0,0,260.615,,,,
00640L,0,0,0,90.082,,,,
00641R,0,0,0,-403.9,,,,
00642U,118,0,0,512.747,,,,
00643,4,0,0,27.206,,,,
00643K,0,0,0,0,,,,
00645,-4.775,66,0,-70.309,,,,
00646,-0.19,248,0,-851.928,,,,
00647L,0,0,0,11.079,,,,
00648R,0,0,0,-874,,,,
00650L,-16,0,0,197.146,,,,
00651R,-15,0,0,31.2,,,,
00652,-1,0,0,55.523,,,,
00653L,-2,0,0,89.339,,,,
00654R,0,0,0,9.796,,,,
00655L,0,0,0,-2.885,,,,
00656R,0,0,0,5,,,,
00657,-2,0,0,17.909,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,1,,,,
