code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
00400A,1751.97,0,56,6257.214,,,,
00401A,648.9,0,0,1371.443,,,,
00402A,15927,0,0,15614.496,,,,
00403A,92159.512,0,600,168886.732,,,,
00404A,-73,0,0,3153.298,,,,
00405A,23102.903,0,45,62959.195,,,,
00406A,-1038.749,0,0,-18021.373,,,,
00407A,10155.5,0,-200,43548.443,,,,
00408A,-9,0,0,1558.477,,,,
00409A,28982,0,0,13225.504,,,,
00410A,1736,0,0,3684.866,,,,
00411A,76,0,0,4700.589,5455,5207,10,10
0050,-11051.231,2200,2888.277,3747.634,,,,
0051,-0.865,0,0,3,,,,
0052,-938.527,0,1139.654,2767.27,,,,
0053,1,0,0,-35.316,,,,
0055,-37.263,0,0,-946.06,,,,
0056,-5345.151,0,29,-11289.084,,,,
0057,1,0,0,-4.761,,,,
0061,-5,0,0,-11.32,,,,
006201,-3.001,0,0,-6.473,205,194,18,17
006203,-1,0,0,15.133,,,,
006204,-1,0,0,0.11,,,,
006205,0,0,0,-2.095,,,,
006206,0,0,0,2.482,,,,
006207,-60,0,0,3.417,,,,
006208,137.073,0,109.967,94.378,,,,
00631L,769.88,0,186.214,32811.185,,,,
00632R,318.1,0,-200,-9228.911,,,,
00633L,83,0,0,-582.182,,,,
00634R,-402,0,0,405,,,,
00635U,-13.01,0,4,229.069,,,,
00636,-2,0,107,-110.067,,,,
00636K,0,0,0,0,,,,
00637L,-976,0,0,-5462.931,,,,
00638R,0,0,0,-2,,,,
00639,0,0,10,-72.732,,,,
00640L,-1,0,0,42.145,,,,
00641R,0,0,0,-141,,,,
00642U,22.352,0,45,-717.484,,,,
00643,-17,0,0,-85.501,,,,
00645,-0.024,0,0,10,,,,
00646,14.595,0,4,-1636.191,,,,
00647L,-1,0,0,1.542,,,,
00648R,0,0,0,76.1,,,,
00650L,-236,0,0,-1759.636,,,,
00651R,0,0,0,5,,,,
00652,-1,0,5,7.852,,,,
00653L,2,0,0,-8.604,,,,
00654R,0,0,0,4,,,,
00655L,-63,0,0,-135.465,,,,
00656R,-200,0,0,198,,,,
00657,0,0,0,-6.512,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,3,,,,
00661,2,0,0,20.912,,,,
00662,494.841,0,-131,-680.474,,,,
00663L,25,0,0,454.663,,,,
00664R,0,0,250,-7570.925,,,,
00665L,-575,0,0,-1368.596,,,,
00666R,-1,0,0,86,,,,
00668,0,0,0,-45.825,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,-70,,,,
00670L,-4,0,0,536.482,,,,
00671R,0,0,0,-1521.517,,,,
00673R,429,0,0,9300.712,,,,
00674R,1,0,0,159.918,,,,
00675L,-13,0,110,-71.44,,,,
00676R,-531,0,0,-618.954,,,,
00678,40,0,0,-46.637,,,,
00679B,5857.079,-200,0,-337.459,3791,3792,4,4
00680L,251,0,-800,2357.339,,,,
00681R,0,0,0,2.86,,,,
00682U,0,0,0,0.854,,,,
00683L,0,0,0,-2,,,,
00684R,0,0,0,-1,,,,
00685L,178.4,0,3195,367.1,,,,
00686R,0,0,0,-1747.736,,,,
00687B,5475.562,0,0,-2562.199,4894,4983,0,0
00687C,0,0,0,0,,,,
00688L,0,0,0,1224.549,,,,
00689R,0,0,0,-0.13,,,,
00690,3,0,0,49.793,,,,
00692,6.01,0,-18,611.83,,,,
00693U,1,0,0,355.007,,,,
00694B,53,0,0,-54.815,0,0,0,0
00695B,86,0,0,68.348,1,1,0,0
00696B,991,0,0,-934.118,84,49,0,0
00697B,0,0,0,-18.61,3,3,0,0
00700,101,0,2,-121.363,,,,
00701,45,0,0,-42.814,,,,
00702,-197.951,0,0,155.491,,,,
00703,0,0,0,-1.957,,,,
00706L,0,0,0,758.64,,,,
00708L,17,0,30,222.599,,,,
00709,-44,0,0,39,,,,
00710B,-5,0,0,-17.945,,,,
00711B,-1,0,0,3.001,,,,
00712,293.2,0,0,-25221.998,,,,
00713,-386.75,0,0,-3245.383,,,,
00714,56,0,0,-55.294,,,,
00715L,-132,0,0,-389.082,,,,
00717,0,0,0,-1,,,,
00719B,29,0,0,-603.999,95,95,0,0
00720B,1088,0,0,1475.314,1685,1585,0,0
00722B,250,0,0,60.29,74,74,0,0
00723B,0,0,0,-19,106,106,0,0
00724B,302,0,0,44.111,16,16,0,0
00725B,348,0,0,840.891,478,478,0,0
00726B,0,0,0,2.602,3,3,0,0
00727B,2,0,0,-1.741,2,2,0,0
00728,18,0,0,-30.702,,,,
00730,115,0,0,73.328,,,,
00731,-1,0,0,-1.333,,,,
00733,12.07,0,-2,33.261,,,,
00734B,0,0,0,0,0,0,0,0
00735,93.02,0,-8,379.963,,,,
00736,0,0,0,0,,,,
00737,8,0,0,16.192,,,,
00738U,0,0,0,1189.115,,,,
00739,0,0,0,3.148,,,,
00740B,339,0,0,-181.428,43,43,0,0
00741B,0,0,0,-6.844,0,0,0,0
00746B,12,0,0,-7.978,0,0,0,0
00749B,0,0,0,0,0,0,0,0
00750B,0,0,0,0,0,0,0,0
00751B,281,0,0,586.955,2140,2144,0,0
00752,-196,0,6,-86.488,,,,
00753L,-972,0,0,-8035.39,,,,
00754B,9,0,0,-13,10,10,0,0
00755B,3,0,0,0.543,0,0,0,0
00756B,66,0,0,-45.5,21,21,0,0
00757,-4.236,0,13,-839.798,,,,
00758B,0,0,0,1,0,0,0,0
00759B,0,0,0,0,0,0,0,0
00760B,0,0,0,1.718,0,0,0,0
00761B,108,0,0,-101.467,24,24,0,0
00762,-1,0,0,74.911,,,,
00763U,10,0,0,399.901,,,,
00764B,34,0,0,-9.588,37,37,0,0
00768B,152,0,0,-31.96,459,459,0,0
00770,-34,0,0,94.447,,,,
00771,0,0,0,-6,,,,
00772B,663,0,0,286.259,868,871,0,0
00773B,212,0,0,-99.457,3,3,0,0
00775B,1,0,0,0.411,,,,
00777B,0,0,0,0,10,10,0,0
00778B,1,0,0,-2,0,0,0,0
00779B,5,0,0,0,0,0,0,0
00780B,2,0,0,0.818,0,0,0,0
00781B,7,0,0,-6.467,27,29,0,0
00782B,0,0,0,23,12,12,0,0
00783,3,0,0,-1.935,,,,
00785B,126,0,0,-125,1,1,0,0
00786B,8,0,0,6.01,6,6,0,0
00787B,14,0,0,-0.023,0,0,0,0
00788B,1,0,0,-1,0,0,0,0
00789B,0,0,0,-17,0,0,0,0
00791B,3,0,0,-3,0,0,0,0
00792B,1,0,0,-0.5,0,0,0,0
00795B,1961,0,0,-1515.216,1219,1237,0,0
00799B,3,0,0,18.984,14,14,0,0
00830,2144.565,0,-54,1457.185,,,,
00834B,0,0,0,0,0,0,0,0
00836B,20,0,0,-20,0,0,0,0
00840B,0,0,0,0,0,0,0,0
00841B,0,0,0,0,0,0,0,0
00842B,0,0,0,-19,6,6,0,0
00844B,4,0,0,0,0,0,0,0
00845B,10,0,0,-10.071,0,0,0,0
00846B,0,0,0,-0.039,0,0,0,0
00847B,74,0,0,-57.835,0,0,0,0
00848B,6,0,0,-5,0,0,0,0
00849B,1,0,0,-0.047,0,0,0,0
00850,18.985,-40,0,153.129,,,,
00851,0,0,0,10,,,,
00852L,0,0,0,-113.433,,,,
00853B,80,0,0,-61.746,0,0,0,0
00856B,0,0,0,-1.075,0,0,0,0
00857B,100,0,0,389.352,74,153,0,0
00858,43,0,0,148.793,23,23,0,0
00859B,72,0,0,0.453,6,6,0,0
00860B,0,0,0,19.95,0,0,0,0
00861,24.792,0,0,40.921,,,,
00862B,73,0,0,-40,4,4,0,0
00863B,-11,0,0,0,0,0,0,0
00864B,15,0,0,-139,35,35,0,0
00865B,-1260,0,0,89.567,,,,
00867B,1,0,0,-0.015,0,0,0,0
00870B,-1,0,0,1,0,0,0,0
00875,46.002,0,0,31,,,,
00876,-0.122,0,0,127.394,,,,
00877,-60,0,10,313.696,6753,7338,52,61
00878,-4659.365,0,-51,-10818.377,,,,
00881,1251.556,0,63.129,3043.576,,,,
00882,-19,0,7,762.468,,,,
00884B,0,0,0,0.282,0,0,0,0
00885,142.426,0,110,279.418,,,,
00886,0,0,0,0.065,0,0,0,0
00887,-158,0,2,326.498,20630,20795,130,130
00888,119.85,0,0,-518.436,2048,2015,35,35
00890B,15,0,0,-15,3,3,0,0
00891,-42.174,0,0,-1411.151,,,,
00892,23.015,0,225,188.152,,,,
00893,127,0,0,390.875,,,,
00894,20,0,3,408.013,,,,
00895,486.991,0,0,-253.232,,,,
00896,633,0,0,394.782,,,,
00897,866,0,0,-245.692,,,,
00898,312,0,0,748.571,,,,
00899,-1.673,0,0,0.228,,,,
00900,151.111,0,-107,970.484,,,,
00901,-0.561,0,0,74.004,,,,
00902,48,0,0,89.434,,,,
00903,-19,0,0,107.051,,,,
00904,58,0,0,83.302,,,,
00905,68,0,0,125.325,,,,
00907,71,0,0,122.773,,,,
00908,105,0,0,-100.342,,,,
00909,1802.155,0,0,-148.308,,,,
00910,-134.699,0,0,-20,,,,
00911,1.913,0,0,124,,,,
00912,-4.985,0,0,-28.223,,,,
00913,-277,0,0,-598.755,,,,
00915,46,0,0,682.813,,,,
00916,113,0,0,200,,,,
00917,-22.956,0,0,-1026.088,,,,
00918,-458.001,0,-294,-18316.841,,,,
00919,-3006.09,0,0,-29981.524,,,,
00920,98,0,0,-92.786,,,,
00921,1,0,0,-92.025,,,,
00922,19.5,0,5,416.01,,,,
00923,184,0,45,745.689,,,,
00924,41,0,0,183.997,,,,
00926,0,0,0,78.824,,,,
00927,-1181.92,0,17,-2315.251,,,,
00928,-8,0,0,85.737,333,338,7,7
00929,-708.672,2500,0,-2195.768,,,,
00930,-78.875,0,0,-1115.691,,,,
00931B,959,0,0,-520.688,2852,2882,0,0
00932,4,0,0,82.715,,,,
