code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,-18967.133,4000,957.481,-17618.964,,,,
0051,0,0,0,12.734,,,,
0052,177.427,-5,0,-984.814,,,,
0053,0,0,0,-19.311,,,,
0055,-4,0,0,-181.397,,,,
0056,97.085,2500,85,864.197,,,,
0057,0,0,0,1,,,,
0061,-1,0,0,-4.741,,,,
006201,1,0,0,67.839,58,58,0,0
006203,0,0,0,3,,,,
006204,-1,0,0,-5.152,,,,
006205,-27,0,0,-85.556,,,,
006206,-4,0,0,11.037,,,,
006207,0,0,0,16.536,,,,
006208,-593.314,0,0,20.541,,,,
00631L,-29.99,0,0,1531.145,,,,
00632R,87,0,686,-7625.006,,,,
00633L,-97,0,0,-629.668,,,,
00634R,0,0,0,-63,,,,
00635U,9.59,0,230,-10344.785,,,,
00636,92,0,-250,700.873,,,,
00636K,0,0,0,0,,,,
00637L,-2248,0,0,-6379.262,,,,
00638R,0,0,0,6,,,,
00639,48,0,80,-186.992,,,,
00640L,52,0,0,238.866,,,,
00641R,0,0,0,-588.107,,,,
00642U,0,0,0,-4763.703,,,,
00643,32,0,0,-91.573,,,,
00645,17,0,0,95.935,,,,
00646,152.294,0,0,3402.884,,,,
00647L,4,0,0,45.202,,,,
00648R,0,0,0,-236.1,,,,
00650L,1329,0,0,4072.557,,,,
00651R,-3,0,0,-503.95,,,,
00652,-4,0,-25,-169.153,,,,
00653L,7,0,0,19.766,,,,
00654R,0,0,0,143.772,,,,
00655L,89,0,0,45.268,,,,
00656R,0,0,0,-79.825,,,,
00657,5.7,0,0,-6.384,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,16,,,,
00661,3,0,1,-38.095,,,,
00662,26.897,0,0,-380.912,,,,
00663L,-98,0,0,2493.797,,,,
00664R,0,0,-150,-4979.509,,,,
00665L,2447,0,0,9145.952,,,,
00666R,29,0,0,-86.953,,,,
00668,-4,0,0,-0.52,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,934.515,,,,
00670L,-4.3,0,41,433.983,,,,
00671R,0,0,0,1081.101,,,,
00674R,86,0,0,-74.13,,,,
00675L,926,0,0,198.336,,,,
00676R,0,0,0,84.602,,,,
00678,0,0,0,13.914,,,,
