code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
0050,96384.932,-2116,11785.751,49809.112,,,,
0051,-1,0,0,68.542,,,,
0052,21119.713,0,11872.696,32313.181,,,,
0053,2,0,0,21.812,,,,
0055,33.149,0,0,56.927,,,,
0056,17522.796,130,4223,14928.91,,,,
0057,0,0,0,1.462,,,,
0061,267,0,0,83.803,,,,
006201,-1,0,0,-188.908,63,67,1,1
006203,-3,0,0,7,,,,
006204,0.027,0,0,1.308,,,,
006205,127,0,0,-37.146,,,,
006206,7,0,0,30.972,,,,
006207,37,0,0,102.868,,,,
006208,1341.814,0,48,3754.451,,,,
00625K,0,0,0,-1,,,,
00631L,17030.9,0,-10837,22423.013,,,,
00632R,1193,0,708,-23664.273,,,,
00633L,538,0,0,2377.159,,,,
00634R,374,0,0,-1109.502,,,,
00635U,368.037,0,65,6216.106,,,,
00636,4.05,0,0,435.999,,,,
00636K,0,0,0,0,,,,
00637L,9346,0,250,20199.888,,,,
00638R,0,0,0,-210.801,,,,
00639,181,0,0,394.225,,,,
00640L,12,0,0,132.806,,,,
00641R,0,0,0,-89.758,,,,
00642U,-6727.065,0,113,2894.763,,,,
00643,31,0,0,769.995,,,,
00643K,0,0,0,0,,,,
00645,-4,0,0,149.447,,,,
00646,-96.109,150,0,280.343,,,,
00647L,-6,0,0,84.074,,,,
00648R,-134,0,0,1732.751,,,,
00650L,560,0,0,2516.09,,,,
00651R,-36,0,0,836.07,,,,
00652,-5,0,29,77.785,,,,
00653L,48,0,0,621.397,,,,
00654R,0,0,0,121.969,,,,
00655L,843,0,0,441.511,,,,
00656R,0,0,0,-47.571,,,,
00657,4.5,0,0,171.387,,,,
00657K,0,0,0,0,,,,
00660,0,0,0,25,,,,
00661,-4,0,0,156.015,,,,
00662,-24.6,0,-22,979.658,,,,
00663L,6001.02,0,0,12682.424,,,,
00664R,0,0,0,-6854.381,,,,
00665L,2760,0,0,11670.211,,,,
00666R,0,0,0,-4.97,,,,
00668,0,0,0,20.585,,,,
00668K,0,0,0,0,,,,
00669R,0,0,0,3395.797,,,,
00670L,71,0,0,1380.873,,,,
00671R,0,0,0,3978.271,,,,
