code,fgn,inv,dlrSelf,dlrHedge,mgn,mgnPrev,shrt,shrtPrev
00400A,2536.35,0,133,-6876.246,,,,
00401A,1328,0,51,-2141.634,,,,
00402A,64.1,0,0,-896.666,,,,
00403A,-3711.163,0,-1398.021,-34485.58,,,,
00404A,-326,0,0,211.776,,,,
00405A,1910.5,0,305,21903.783,,,,
00406A,1889.209,0,0,-166309.166,,,,
00407A,-2838.78,0,0,-985.961,,,,
00408A,0,0,0,73.276,,,,
00410A,-3,0,0,74.348,,,,
0050,-34668.003,0,-11060.732,-6839.701,,,,
0051,1.001,0,0,-5.23,,,,
0052,-928.41,0,-413,245.695,,,,
0053,0.989,0,0,-34.475,,,,
0055,-19.635,0,0,-39.47,,,,
0056,-5991.16,0,-59,-4030.576,,,,
0057,-1,0,0,-4.935,,,,
0061,-4.1,0,0,-102.9,,,,
006201,21.011,0,0,-128.597,215,165,11,16
006203,0.001,0,0,-16,,,,
006204,-1,0,0,-1.158,,,,
006205,52,40,0,-216.538,,,,
006206,81.055,0,-10,-68.576,,,,
006207,39,0,0,-52.916,,,,
006208,114.727,-491,-335.175,-485.573,,,,
00631L,-11491.702,0,-620,-53008.8,,,,
00632R,-2232,0,2200,54407.68,,,,
00633L,72,0,0,-2151.74,,,,
00634R,-94,0,0,-963.301,,,,
00635U,85.948,0,5,-55.19,,,,
00636,-72,0,0,-176.004,,,,
00636K,0,0,0,0,,,,
00637L,-614,0,0,-16000.189,,,,
00638R,1,0,0,-344.827,,,,
00639,-44.862,0,0,-281.927,,,,
00640L,-21,0,0,-290.482,,,,
00641R,0,0,0,1345.152,,,,
00642U,-1.508,0,0,803.889,,,,
00643,-28,0,0,-196.934,,,,
00643K,0,0,0,0,,,,
00645,-5.878,60,0,-164.529,,,,
00646,12.573,0,0,434.113,,,,
00647L,-11,0,0,-2.785,,,,
00648R,0,0,0,792.877,,,,
00650L,94,0,0,695.506,,,,
00651R,-1,0,0,-185.671,,,,
00652,0,50,0,-95.013,,,,
00653L,0,0,0,-3.503,,,,
00654R,0,0,0,1,,,,
00655L,-3,0,0,-803.968,,,,
00656R,0,0,0,-3.79,,,,
00657,-1,0,0,-0.262,,,,
00657K,0,0,0,0,,,,
00660,1,0,0,53,,,,
00661,28,0,0,198.557,,,,
00662,-104.733,80,7,697.896,,,,
00663L,-437,0,0,-2349.961,,,,
00664R,0,0,-499,15268.248,,,,
00665L,1171,0,0,5255.376,,,,
00666R,0,0,0,-0.233,,,,
00668,-1,0,0,0.187,,,,
00668K,0,0,0,0,,,,
00669R,13,0,0,68.75,,,,
00670L,35,0,0,-92.384,,,,
00671R,0,0,0,-875.5,,,,
00673R,0,0,0,-7781.191,,,,
00674R,0,0,0,-111.243,,,,
00675L,120.1,0,0,-163.089,,,,
00676R,0,0,0,3095.618,,,,
00678,52,0,0,-44.16,,,,
00679B,648,0,-1060,13361.971,4240,4344,0,0
00680L,103,0,200,5920.156,,,,
00681R,0,0,0,-1.001,,,,
00682U,0,0,0,1.993,,,,
00683L,-15,0,0,15,,,,
00684R,0,0,0,4,,,,
00685L,4183.5,0,0,-85035.673,,,,
00686R,7,0,0,4725,,,,
00687B,-1001,0,-30,8895.994,4653,4903,112,2
00687C,0,0,0,0,,,,
00688L,218,0,0,3018.527,,,,
00689R,0,0,0,-0.722,,,,
00690,27.014,0,0,-144.933,,,,
00692,-365.75,0,-2,248.021,,,,
00693U,-91,0,0,86.911,,,,
00694B,-9,0,0,0.358,1,1,0,0
00695B,21,0,0,-2.998,0,0,0,0
00696B,114,0,0,507.617,139,139,0,0
00697B,5,0,0,-125.473,7,7,0,0
00700,5,0,0,32.552,,,,
00701,15,0,0,-124.92,,,,
00702,0,0,0,2.754,,,,
00703,0,0,0,3.31,,,,
00706L,1,0,0,27.984,,,,
00708L,46,0,0,-967.178,,,,
00709,0,80,0,275.978,,,,
00710B,-18,0,0,-6.832,,,,
00711B,0,0,0,-2.363,,,,
00712,62,0,-10,-1209.205,,,,
00713,1239.687,0,0,3054.031,,,,
00714,0,0,0,4.229,,,,
00715L,-208.9,0,0,1699.412,,,,
00717,-3,0,0,32,,,,
00719B,-91,0,-230,-488.672,106,112,0,0
00720B,899,0,0,1966.45,1684,1690,0,0
00722B,199,0,-115,-70.421,90,94,0,0
00723B,-4,0,0,-282.004,125,125,0,0
00724B,2,0,0,70.176,23,23,0,0
00725B,53,0,0,939.219,536,541,0,0
00726B,1,0,0,-46.266,3,3,0,0
00727B,0,0,0,-124.795,0,0,0,0
00728,19,0,0,-62.249,,,,
00730,-1,0,0,42.116,,,,
00731,1,0,0,19.361,,,,
00733,141.074,0,0,25.051,,,,
00734B,-51,0,0,50,0,0,0,0
00735,37.57,0,8,-94.036,,,,
00736,0,0,0,-1,,,,
00737,-3.9,0,0,-15.23,,,,
00738U,110.05,0,0,-1272.569,,,,
00739,-1,0,0,-5.575,,,,
00740B,217,400,-135,-401.505,50,51,0,0
00741B,0,0,0,1.311,3,3,0,0
00746B,75,0,0,-76,0,0,0,0
00749B,-44,0,0,43,0,0,0,0
00750B,-1,0,0,0,0,0,0,0
00751B,823.75,0,0,477.072,1978,2003,0,0
00752,-44.085,0,0,258.371,,,,
00753L,-317,0,0,1537.208,,,,
00754B,0,0,0,11.812,0,0,0,0
00755B,1,0,0,8.905,0,0,0,0
00756B,32,0,0,-70.369,21,21,0,0
00757,953.164,0,-8,1995.287,,,,
00758B,0,0,0,-0.058,0,0,0,0
00759B,0,0,0,-1.219,0,0,0,0
00760B,0,0,0,-4.362,3,3,0,0
00761B,-3,0,0,13.362,31,31,0,0
00762,-186.963,0,-2,148.4,,,,
00763U,14,0,0,-272.309,,,,
00764B,-44,0,0,123.892,37,43,0,0
00768B,26,0,0,124.276,297,303,0,0
00770,-13.9,0,0,-160.126,,,,
00771,0,0,0,-56.074,,,,
00772B,505,0,0,164.859,864,864,0,0
00773B,271,0,0,-200.485,4,4,0,0
00775B,0,0,0,-0.032,,,,
00777B,-16,0,0,16,0,0,0,0
00778B,0,0,0,0,0,0,0,0
00779B,-2,0,0,50,0,0,0,0
00780B,0,0,0,0,0,0,0,0
00781B,0,0,0,21.95,30,30,0,0
00782B,0,0,0,-65.361,12,12,0,0
00783,0,0,0,-26.483,,,,
00785B,1,0,0,-0.97,1,1,0,0
00786B,0,0,0,11.032,8,8,0,0
00787B,0,0,0,0,0,0,0,0
00788B,-1,0,0,36,0,0,0,0
00789B,-3,0,0,1.978,0,0,0,0
00791B,-4,0,0,3.938,0,0,0,0
00792B,0,0,0,9.076,0,0,0,0
00793B,0,0,0,6.2,0,0,0,0
00795B,604,0,-95,230.003,1357,1455,0,0
00799B,2,0,0,282.447,12,12,0,0
00830,-2679.25,0,62,-1014.89,,,,
00834B,0,0,0,0,0,0,0,0
00836B,2,0,0,0,0,0,0,0
00840B,0,0,0,0,0,0,0,0
00841B,0,0,0,0,0,0,0,0
00842B,22,0,0,-36.067,0,0,0,0
00844B,-30,0,0,30,0,0,0,0
00845B,0,0,0,30.063,0,0,0,0
00846B,0,0,0,0.754,0,0,0,0
00847B,0,0,0,-3,0,0,0,0
00848B,-16,0,0,19,0,0,0,0
00849B,-11,0,0,-1.906,0,0,0,0
00850,-6.495,20,0,-371.823,,,,
00851,0,0,0,-1,,,,
00852L,0,0,0,7.999,,,,
00853B,4,0,0,3.875,1,1,0,0
00856B,27,0,0,-27,0,0,0,0
00857B,-69,0,0,338.415,107,107,0,0
00858,-46.82,0,0,-191.718,53,53,0,0
00859B,-87,0,0,-158.725,0,4,0,0
00860B,0,0,0,-15,0,0,0,0
00861,-2.995,0,0,-19.981,,,,
00862B,9,0,0,0.055,11,11,0,0
00863B,0,0,0,0,0,0,0,0
00864B,108,0,0,-271.409,26,26,0,0
00865B,120,0,0,-492.359,,,,
00867B,-30,0,0,30.865,0,0,0,0
00870B,-1,0,0,-0.058,0,0,0,0
00875,0.009,0,0,-15.162,,,,
00876,-68.963,0,0,-113.391,,,,
00877,-304,0,35,-2226.753,7038,6675,42,78
00878,-3914.599,0,-597,-7722.146,,,,
00881,1144.514,0,50,-28924.059,,,,
00882,64.3,0,0,1505.175,,,,
00884B,0,0,0,0,0,0,0,0
00885,40.5,0,0,-497.814,,,,
00886,0,0,0,-0.221,0,0,0,0
00887,-2393.4,0,36,-2402.934,18495,17641,143,146
00888,-1160.839,0,-152.656,-1219.181,3441,3422,20,43
00890B,5,0,0,13,6,6,0,0
00891,675.121,0,0,-11539.732,,,,
00892,205.477,0,0,-215.757,,,,
00893,98.009,0,-10,-157.748,,,,
00894,211.035,0,39,-1182.338,,,,
00895,4.055,0,0,-61.783,,,,
00896,-1050,0,0,-574.495,,,,
00897,0,0,0,335.749,,,,
00898,-2,0,0,606.926,,,,
00899,0,0,0,2.649,,,,
00900,1028.579,0,0,3373.549,,,,
00901,9,0,0,-25.982,,,,
00902,12,0,0,-83.949,,,,
00903,0,0,0,16.515,,,,
00904,-4.9,0,0,-132.043,,,,
00905,7.02,0,0,-351.991,,,,
00907,-5,0,0,-318.87,,,,
00908,-1,0,0,2.189,,,,
00909,-1117.911,0,40,-39.965,,,,
00910,133.015,0,0,111.028,,,,
00911,14.528,0,0,-256.707,,,,
00912,5,0,0,-57.952,,,,
00913,102,0,0,-1236.429,,,,
00915,-216,0,0,280.118,,,,
00916,15,0,0,130.6,,,,
00917,35,0,0,-48.584,,,,
00918,-3306.548,0,0,507.764,,,,
00919,-4257.645,0,0,3807.609,,,,
00920,17.012,0,0,-35.167,,,,
