code,big,small,holders
00900,13.14,72.15,128411
00901,5.94,80.91,11690
00902,12.56,69.35,17999
00903,6.75,80.47,7066
00904,6.51,78.56,24248
00905,5.53,82.85,44583
00907,9.18,78.26,19976
00908,24.63,52.94,2722
00909,6.50,81.29,26256
00910,4.88,84.21,38491
00911,11.45,78.28,13307
00912,19.23,71.04,8342
00913,17.40,71.25,12041
00915,15.12,78.52,71178
00916,8.17,77.84,19446
00917,5.05,79.71,12760
00918,6.63,75.88,347123
00919,8.37,72.78,1452123
00920,7.57,74.73,6404
00921,2.16,88.03,10187
00922,28.96,60.48,187534
00923,12.90,78.78,124339
00924,19.72,70.07,55295
00926,52.50,40.66,9248
00927,9.70,76.82,142057
00928,9.20,72.09,7243
00929,7.42,76.38,461873
00930,4.22,88.81,21035
00931B,75.18,17.52,33648
00932,8.60,81.25,13139
00933B,73.10,15.47,78146
00934,8.49,82.26,49801
00935,18.62,70.69,125954
00936,8.85,82.75,22252
00937B,51.78,20.48,211106
00938,46.74,48.15,6411
00939,5.34,81.18,102430
00940,9.14,69.89,313343
00941,9.62,77.09,47208
00942B,88.93,6.87,9792
00943,25.50,64.50,4220
00944,5.03,83.86,7853
00945B,33.59,36.47,18706
00946,17.11,69.11,35889
00947,18.26,69.55,38962
00948B,78.86,10.20,26408
00949,14.87,70.00,17318
00950B,89.69,5.05,12135
00951,24.72,55.97,15921
00952,7.19,74.82,22931
00953B,39.70,21.70,51392
00954,15.02,65.38,11218
00955,27.25,55.03,35452
00956,11.76,68.05,3221
00957B,43.26,30.40,3940
00958B,15.10,53.25,4315
00959B,41.15,30.79,9177
00960,16.90,76.18,12650
00961,7.47,66.60,58821
00962,7.16,75.34,10463
00963,20.39,44.95,5151
00964,9.32,62.54,4550
00965,43.34,45.68,33442
00966B,31.00,47.86,3901
00967B,62.63,18.16,2658
00968B,63.66,19.11,8209
00969B,58.35,18.01,2084
00970B,53.52,25.62,5855
00971,11.78,72.24,6698
00972,33.13,56.97,1642
009800,24.45,54.69,19915
009801,9.83,66.65,8768
009802,15.78,68.55,42160
009803,8.97,73.90,30839
009804,6.35,75.30,18130
009805,14.30,67.57,55192
009806,37.39,36.34,1094
009807,32.46,39.15,1170
009808,7.56,73.48,4280
009809,33.12,50.59,2503
00980A,22.02,65.79,71583
00980B,39.56,37.38,1507
00980D,28.12,42.33,3407
00980T,48.84,37.07,3204
009810,23.62,52.95,1938
009811,10.25,69.25,22864
009812,27.67,51.31,5895
009813,18.17,63.29,23337
009814,15.92,65.93,13840
009815,15.99,64.03,29614
009816,13.73,63.12,918465
009817,14.97,55.88,10103
009818,5.60,79.24,4916
009819,8.19,75.92,51667
00981A,13.58,66.95,985260
00981B,34.46,21.69,16700
00981D,31.23,28.44,8553
00981T,22.73,40.24,8339
009820,27.88,45.24,37448
009821,6.58,79.57,55127
009822,5.64,74.25,5073
009823,13.89,71.72,33791
009824,9.17,73.62,46841
009825,4.56,67.00,4452
009826,16.43,56.70,62097
009827,9.00,68.18,16241
009828,9.16,74.30,60831
009829,35.66,40.75,13874
00982A,9.46,73.38,180091
00982B,53.33,23.13,768
00982D,28.74,45.45,2819
00982T,6.26,76.62,1926
00983A,16.02,69.39,8942
00983B,48.83,27.26,790
00983D,10.65,43.58,3968
00984A,12.61,74.85,62485
00984B,29.07,41.74,3473
00984D,27.68,26.37,14729
00985A,13.56,72.23,46066
00985B,54.15,18.85,8711
00985D,44.82,26.61,2442
00986A,11.20,72.12,4701
00986B,73.57,17.33,392
00986D,41.07,27.42,2369
00987A,9.98,77.96,17443
00987B,39.14,27.55,2129
00987D,72.80,20.18,1685
00988A,12.82,65.55,232378
00988B,17.25,47.98,5454
00989A,11.28,70.53,6714
00989B,25.02,38.97,2612
00990A,25.67,49.70,122027
00990B,31.12,42.86,3261
00991A,14.25,66.19,338843
00991B,97.44,1.08,404
00992A,11.48,69.55,179634
00993A,14.80,65.75,46807
00994A,10.41,70.40,28638
00995A,11.89,73.65,24283
00996A,15.51,68.98,22546
00997A,9.86,66.70,68023
00998A,26.90,57.07,23451
00999A,6.70,76.98,87779
01001T,90.05,3.51,1357
01002T,91.27,3.47,3250
01004T,90.32,3.03,1243
01007T,89.67,3.77,1819
01009T,85.56,5.04,956
01010T,98.11,0.50,853
1101,50.74,35.87,511642
1101B,91.24,4.33,7407
1102,79.61,13.99,101536
1103,76.64,14.09,74292
1104,67.79,19.60,56064
