code,big,small,holders
000218,100.00,0.00,1
000560,100.00,0.00,1
000708,100.00,0.00,1
000779,100.00,0.00,1
000815,100.00,0.00,1
000856,100.00,0.00,1
00400A,12.81,63.97,132509
00401A,23.59,60.56,17893
00402A,20.93,60.28,42171
00403A,16.10,62.02,844857
00404A,13.66,69.14,28966
00405A,18.94,56.69,135920
00406A,13.24,50.34,182915
00407A,23.52,53.56,119571
00408A,22.23,54.10,8067
00409A,33.74,38.04,46395
00410A,28.63,51.02,9590
00411A,31.53,48.34,18415
0050,24.27,65.21,3539949
0051,0.00,79.85,12653
0052,18.71,72.31,451795
0053,45.33,39.57,7159
0055,30.71,51.55,17218
0056,9.06,76.19,1661306
0057,0.00,61.12,3498
0061,22.85,48.15,5979
006201,37.24,48.53,5217
006203,50.97,15.17,3587
006204,0.00,66.77,1145
006205,33.18,43.94,8804
006206,14.92,64.94,3078
006207,0.00,53.72,1603
006208,9.67,86.40,712360
00625K,0.00,65.43,12
00631L,21.59,43.02,284072
00632R,30.05,30.32,66893
00633L,20.48,37.30,3618
00634R,43.18,22.78,761
00635U,16.32,68.18,57406
00636,14.54,60.18,8170
00636K,0.00,99.98,8
00637L,42.72,22.08,11726
00638R,38.02,22.94,496
00639,16.57,52.63,5675
00640L,24.35,47.22,1258
00641R,46.54,22.44,1275
00642U,36.83,44.59,6903
00643,31.88,39.02,3163
00643K,0.00,99.99,5
00645,17.33,58.72,9714
00646,39.96,48.66,114509
00647L,31.13,54.48,1499
00648R,37.21,27.17,2325
00650L,35.56,29.52,2200
00651R,54.18,14.22,366
00652,25.09,59.27,9305
00653L,0.00,64.44,1262
00654R,39.82,22.13,360
00655L,15.73,45.68,2189
00656R,46.73,15.99,314
00657,0.00,65.00,1634
00657K,0.00,99.99,4
00660,0.00,43.52,1016
00661,7.53,70.57,7196
00662,32.69,47.47,110799
00663L,21.72,58.92,13066
00664R,39.11,18.35,10078
00665L,44.00,20.01,5000
00666R,71.86,9.07,120
00668,34.93,58.66,2039
00668K,0.00,100.00,4
00669R,34.23,25.40,3049
00670L,7.19,75.42,12226
00671R,52.70,12.83,3497
00673R,39.53,24.03,16483
00674R,41.22,42.34,1265
00675L,15.70,71.84,18154
00676R,31.24,29.47,4370
00678,0.00,53.26,1870
00679B,37.55,41.08,232542
00680L,38.99,22.99,18920
00681R,70.73,2.74,94
00682U,52.36,7.34,256
00683L,60.86,21.45,311
00684R,73.77,10.91,168
00685L,22.77,39.14,172578
00686R,50.71,13.74,2054
00687B,36.88,40.07,151879
00687C,93.67,6.30,16
00688L,35.65,25.63,8989
00689R,73.72,0.31,46
00690,9.45,78.74,16440
00692,14.88,77.43,90775
00693U,38.45,41.64,2819
00694B,58.85,27.05,1999
00695B,65.63,21.14,2258
00696B,82.09,13.91,10889
00697B,18.74,64.53,6756
00700,4.72,63.05,2594
00701,5.43,88.75,37672
00702,30.46,38.37,1173
00703,0.00,58.08,1019
00706L,22.27,43.58,6004
00707R,77.06,0.28,23
00708L,19.75,58.44,18040
00709,7.44,48.58,2244
00710B,81.02,14.84,3714
00711B,99.18,0.50,793
00712,20.80,38.52,148244
00713,20.46,73.02,270466
00714,17.96,43.71,2369
